CATEGORIA;CLASE;SUBCATEGORIA;SUBCATEGORIA2;TIPO DOCUMENTO;LECTURA;ESCRITURA;
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;SANITARIO ALCANTARILLADO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;SANITARIO AGUAS LLUVIA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;EXTRACCIÓN DE AIRE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;CALEFACCIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;GAS BAJA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;GAS MEDIA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;BASURA-SEREMI;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;ASCENSORES;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;ESTUDIO LUMÍNICO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;PISCINA-SEREMI;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;PAISAJISMO Y RIEGO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;IMPERMEABILIZACIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;LAVANDERÍA EXTERNA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;LIMPIA FACHADA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;PROYECTO AUDIO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO ALUMBRADO-FUERZA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO CD-SEGURIDAD;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;ELECTRICO TELECOM;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO AGUA POTABLE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO ALCANTARILLADO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;SANITARIO AGUAS LLUVIA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;GAS MEDIA PRESIÓN;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;BASURA-SEREMI;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;ESTUDIO LUMÍNICO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES URBANIZACIÓN CASAS;PAISAJISMO Y RIEGO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);MODELO BIM;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI;ARQ
